Order_ID,Warehouse,Product,Order_Date,Dispatch_Date,Ship_Date,Destination
1000,A,Monitor,2024-04-09,2024-04-11,2024-04-13,Chennai
1001,B,Phone,2024-04-13,2024-04-17,2024-04-20,Delhi
1002,D,Headphones,2024-04-03,2024-04-03,2024-04-07,Delhi
1003,C,Laptop,2024-04-12,2024-04-14,2024-04-18,Hyderabad
1004,C,Phone,2024-04-02,2024-04-03,2024-04-07,Chennai
1005,C,Tablet,2024-04-04,2024-04-05,2024-04-09,Kolkata
1006,B,Phone,2024-02-06,2024-02-10,2024-02-14,Kolkata
1007,C,Tablet,2024-04-19,2024-04-20,2024-04-22,Hyderabad
1008,D,Laptop,2024-02-08,2024-02-10,2024-02-12,Bangalore
1009,B,Tablet,2024-03-23,2024-03-26,2024-03-29,Mumbai
1010,B,Monitor,2024-04-10,2024-04-12,2024-04-13,Chennai
1011,D,Monitor,2024-02-18,2024-02-20,2024-02-21,Mumbai
1012,D,Keyboard,2024-02-15,2024-02-16,2024-02-18,Hyderabad
1013,D,Headphones,2024-01-25,2024-01-27,2024-01-28,Delhi
1014,A,Headphones,2024-03-27,2024-03-27,2024-03-28,Hyderabad
1015,B,Keyboard,2024-03-02,2024-03-06,2024-03-08,Mumbai
1016,D,Keyboard,2024-04-14,2024-04-14,2024-04-15,Pune
1017,A,Keyboard,2024-04-04,2024-04-05,2024-04-09,Chennai
1018,A,Tablet,2024-03-19,2024-03-21,2024-03-23,Pune
1019,D,Monitor,2024-04-27,2024-04-28,2024-05-02,Hyderabad
1020,C,Headphones,2024-02-10,2024-02-11,2024-02-14,Hyderabad
1021,D,Keyboard,2024-02-18,2024-02-20,2024-02-24,Delhi
1022,B,Phone,2024-04-27,2024-04-30,2024-05-02,Hyderabad
1023,D,Headphones,2024-03-20,2024-03-21,2024-03-23,Chennai
1024,B,Headphones,2024-04-27,2024-04-29,2024-05-03,Hyderabad
1025,D,Headphones,2024-03-05,2024-03-06,2024-03-08,Delhi
1026,C,Laptop,2024-04-27,2024-04-27,2024-04-30,Delhi
1027,D,Headphones,2024-04-21,2024-04-22,2024-04-23,Kolkata
1028,B,Monitor,2024-01-20,2024-01-23,2024-01-25,Hyderabad
1029,D,Monitor,2024-04-15,2024-04-16,2024-04-20,Bangalore
1030,B,Monitor,2024-01-19,2024-01-23,2024-01-24,Pune
1031,A,Tablet,2024-04-07,2024-04-09,2024-04-13,Bangalore
1032,A,Phone,2024-02-02,2024-02-02,2024-02-03,Pune
1033,D,Headphones,2024-01-26,2024-01-26,2024-01-27,Delhi
1034,B,Monitor,2024-03-31,2024-04-02,2024-04-04,Mumbai
1035,D,Phone,2024-03-14,2024-03-14,2024-03-17,Kolkata
1036,A,Phone,2024-02-14,2024-02-15,2024-02-17,Hyderabad
1037,C,Headphones,2024-01-18,2024-01-20,2024-01-24,Mumbai
1038,D,Headphones,2024-01-06,2024-01-07,2024-01-09,Hyderabad
1039,C,Headphones,2024-02-27,2024-02-28,2024-03-03,Bangalore
1040,B,Headphones,2024-04-20,2024-04-22,2024-04-23,Hyderabad
1041,D,Headphones,2024-01-18,2024-01-19,2024-01-23,Kolkata
1042,B,Tablet,2024-02-02,2024-02-04,2024-02-05,Kolkata
1043,B,Laptop,2024-01-05,2024-01-07,2024-01-08,Mumbai
1044,C,Tablet,2024-03-13,2024-03-14,2024-03-18,Kolkata
1045,D,Headphones,2024-04-24,2024-04-25,2024-04-29,Chennai
1046,B,Headphones,2024-04-03,2024-04-07,2024-04-09,Chennai
1047,A,Keyboard,2024-03-14,2024-03-15,2024-03-16,Delhi
1048,A,Monitor,2024-03-31,2024-04-01,2024-04-03,Chennai
1049,C,Headphones,2024-02-13,2024-02-14,2024-02-15,Chennai
1050,D,Phone,2024-01-11,2024-01-12,2024-01-15,Delhi
1051,A,Tablet,2024-02-06,2024-02-06,2024-02-10,Kolkata
1052,B,Keyboard,2024-03-19,2024-03-21,2024-03-23,Chennai
1053,C,Headphones,2024-04-01,2024-04-02,2024-04-04,Mumbai
1054,D,Laptop,2024-02-18,2024-02-20,2024-02-24,Bangalore
1055,B,Keyboard,2024-03-18,2024-03-22,2024-03-24,Kolkata
1056,D,Headphones,2024-02-22,2024-02-22,2024-02-23,Chennai
1057,D,Phone,2024-01-05,2024-01-07,2024-01-10,Kolkata
1058,A,Phone,2024-04-03,2024-04-05,2024-04-06,Delhi
